campaign_id,client_id,contact_duration,number_contacts,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
1,0,261,1,999,0,,0,2022-05-13
2,1,149,1,999,0,,0,2022-05-19
3,2,226,1,999,0,,0,2022-05-23
4,3,151,1,999,0,,0,2022-05-27
5,4,307,1,999,0,,0,2022-05-3
6,5,198,1,999,0,,0,2022-05-5
7,6,139,1,999,0,,0,2022-05-3
8,7,217,1,999,0,,0,2022-05-12
9,8,380,1,999,0,,0,2022-05-21
10,9,50,1,999,0,,0,2022-05-5
11,10,55,1,999,0,,0,2022-05-8
12,11,222,1,999,0,,0,2022-05-9
13,12,137,1,999,0,,0,2022-05-29
14,13,293,1,999,0,,0,2022-05-14
15,14,146,1,999,0,,0,2022-05-29
16,15,174,1,999,0,,0,2022-05-29
17,16,312,1,999,0,,0,2022-05-1
18,17,440,1,999,0,,0,2022-05-9
19,18,353,1,999,0,,0,2022-05-6
20,19,195,1,999,0,,0,2022-05-2
21,20,38,1,999,0,,0,2022-05-2
22,21,262,1,999,0,,0,2022-05-16
23,22,342,1,999,0,,0,2022-05-20
24,23,181,1,999,0,,0,2022-05-10
25,24,172,1,999,0,,0,2022-05-2
26,25,99,1,999,0,,0,2022-05-28
27,26,93,1,999,0,,0,2022-05-30
28,27,233,1,999,0,,0,2022-05-16
29,28,255,2,999,0,,0,2022-05-1
30,29,362,1,999,0,,0,2022-05-22
31,30,348,1,999,0,,0,2022-05-22
32,31,386,1,999,0,,0,2022-05-27
33,32,73,1,999,0,,0,2022-05-25
34,33,230,1,999,0,,0,2022-05-14
35,34,208,1,999,0,,0,2022-05-25
36,35,336,1,999,0,,0,2022-05-22
37,36,365,1,999,0,,0,2022-05-11
38,37,1666,1,999,0,,0,2022-05-3
39,38,577,1,999,0,,0,2022-05-2
40,39,137,1,999,0,,0,2022-05-20
41,40,366,1,999,0,,0,2022-05-5
42,41,314,1,999,0,,0,2022-05-25
43,42,160,1,999,0,,0,2022-05-22
44,43,212,1,999,0,,0,2022-05-1
45,44,188,1,999,0,,0,2022-05-17
46,45,22,1,999,0,,0,2022-05-28
47,46,616,1,999,0,,0,2022-05-15
48,47,178,1,999,0,,0,2022-05-3
49,48,355,1,999,0,,0,2022-05-26
50,49,225,2,999,0,,0,2022-05-26
51,50,160,1,999,0,,0,2022-05-3
52,51,266,1,999,0,,0,2022-05-9
53,52,253,1,999,0,,0,2022-05-11
54,53,179,1,999,0,,0,2022-05-13
55,54,269,2,999,0,,0,2022-05-12
56,55,135,1,999,0,,0,2022-05-8
57,56,161,1,999,0,,0,2022-05-17
58,57,787,1,999,0,,0,2022-05-8
59,58,145,1,999,0,,0,2022-05-8
60,59,174,1,999,0,,0,2022-05-18
61,60,449,1,999,0,,0,2022-05-3
62,61,812,1,999,0,,0,2022-05-23
63,62,164,1,999,0,,0,2022-05-27
64,63,366,1,999,0,,0,2022-05-29
65,64,357,1,999,0,,0,2022-05-19
66,65,232,1,999,0,,0,2022-05-15
67,66,91,1,999,0,,0,2022-05-16
68,67,273,1,999,0,,0,2022-05-21
69,68,158,2,999,0,,0,2022-05-29
70,69,177,1,999,0,,0,2022-05-4
71,70,200,1,999,0,,0,2022-05-28
72,71,172,1,999,0,,0,2022-05-26
73,72,176,1,999,0,,0,2022-05-18
74,73,211,1,999,0,,0,2022-05-14
75,74,214,1,999,0,,0,2022-05-26
76,75,1575,1,999,0,,1,2022-05-20
77,76,349,1,999,0,,0,2022-05-16
78,77,337,2,999,0,,0,2022-05-28
79,78,272,1,999,0,,0,2022-05-30
80,79,208,1,999,0,,0,2022-05-21
81,80,193,1,999,0,,0,2022-05-29
82,81,212,1,999,0,,0,2022-05-29
83,82,165,2,999,0,,0,2022-05-27
84,83,1042,1,999,0,,1,2022-05-6
85,84,20,1,999,0,,0,2022-05-23
86,85,246,1,999,0,,0,2022-05-12
87,86,529,2,999,0,,0,2022-05-23
88,87,192,1,999,0,,0,2022-05-21
89,88,1467,1,999,0,,1,2022-05-19
90,89,188,2,999,0,,0,2022-05-17
91,90,180,2,999,0,,0,2022-05-29
92,91,48,1,999,0,,0,2022-05-5
93,92,213,2,999,0,,0,2022-05-2
94,93,545,1,999,0,,0,2022-05-27
95,94,583,1,999,0,,0,2022-05-28
96,95,221,1,999,0,,0,2022-05-25
97,96,426,1,999,0,,0,2022-05-17
98,97,287,1,999,0,,0,2022-05-27
99,98,197,1,999,0,,0,2022-05-30
100,99,257,1,999,0,,0,2022-05-3
101,100,229,1,999,0,,0,2022-05-25
102,101,55,3,999,0,,0,2022-05-30
103,102,400,1,999,0,,0,2022-05-27
104,103,197,1,999,0,,0,2022-05-19
105,104,190,1,999,0,,0,2022-05-24
106,105,21,1,999,0,,0,2022-05-8
107,106,300,2,999,0,,0,2022-05-22
108,107,123,2,999,0,,0,2022-05-9
109,108,293,1,999,0,,0,2022-05-15
110,109,325,1,999,0,,0,2022-05-9
111,110,514,1,999,0,,0,2022-05-4
112,111,849,2,999,0,,0,2022-05-1
113,112,194,1,999,0,,0,2022-05-25
114,113,212,2,999,0,,0,2022-05-4
115,114,337,2,999,0,,0,2022-05-6
116,115,286,1,999,0,,0,2022-05-20
117,116,247,2,999,0,,0,2022-05-31
118,117,518,1,999,0,,0,2022-05-24
119,118,364,1,999,0,,0,2022-05-6
120,119,178,1,999,0,,0,2022-05-26
121,120,98,1,999,0,,0,2022-05-21
122,121,439,1,999,0,,0,2022-05-1
123,122,139,1,999,0,,0,2022-05-18
124,123,79,1,999,0,,0,2022-05-9
125,124,175,1,999,0,,0,2022-05-26
126,125,262,2,999,0,,0,2022-05-21
127,126,61,1,999,0,,0,2022-05-31
128,127,78,1,999,0,,0,2022-05-24
129,128,102,2,999,0,,0,2022-05-23
130,129,579,1,999,0,,1,2022-05-12
131,130,143,1,999,0,,0,2022-05-29
132,131,677,1,999,0,,0,2022-05-20
133,132,267,1,999,0,,0,2022-05-22
134,133,345,1,999,0,,0,2022-05-12
135,134,185,1,999,0,,0,2022-05-19
136,135,207,1,999,0,,0,2022-05-5
137,136,69,2,999,0,,0,2022-05-26
138,137,100,2,999,0,,0,2022-05-19
139,138,125,2,999,0,,0,2022-05-28
140,139,461,1,999,0,,1,2022-05-27
141,140,240,1,999,0,,0,2022-05-16
142,141,70,1,999,0,,0,2022-05-22
143,142,193,1,999,0,,0,2022-05-24
144,143,136,1,999,0,,0,2022-05-17
145,144,73,1,999,0,,0,2022-05-24
146,145,528,1,999,0,,0,2022-05-6
147,146,541,1,999,0,,0,2022-05-11
148,147,338,1,999,0,,0,2022-05-16
149,148,163,1,999,0,,0,2022-05-28
150,149,87,1,999,0,,0,2022-05-25
151,150,301,1,999,0,,0,2022-05-3
152,151,46,1,999,0,,0,2022-05-22
153,152,52,1,999,0,,0,2022-05-8
154,153,204,1,999,0,,0,2022-05-3
155,154,155,1,999,0,,0,2022-05-12
156,155,98,1,999,0,,0,2022-05-15
157,156,71,1,999,0,,0,2022-05-25
158,157,243,1,999,0,,0,2022-05-29
159,158,186,2,999,0,,0,2022-05-7
160,159,579,2,999,0,,0,2022-05-27
161,160,165,2,999,0,,0,2022-05-3
162,161,163,2,999,0,,0,2022-05-9
163,162,46,1,999,0,,0,2022-05-29
164,163,559,3,999,0,,0,2022-05-15
165,164,2033,1,999,0,,0,2022-05-18
166,165,85,1,999,0,,0,2022-05-22
167,166,506,1,999,0,,0,2022-05-4
168,167,114,2,999,0,,0,2022-05-12
169,168,114,2,999,0,,0,2022-05-19
170,169,843,2,999,0,,0,2022-05-25
171,170,181,1,999,0,,0,2022-05-12
172,171,427,1,999,0,,0,2022-05-5
173,172,292,1,999,0,,0,2022-05-24
174,173,192,1,999,0,,0,2022-05-7
175,174,93,3,999,0,,0,2022-05-2
176,175,128,2,999,0,,0,2022-05-9
177,176,107,1,999,0,,0,2022-05-29
178,177,303,2,999,0,,0,2022-05-13
179,178,81,1,999,0,,0,2022-05-11
180,179,270,1,999,0,,0,2022-05-30
181,180,228,1,999,0,,0,2022-05-12
182,181,240,1,999,0,,0,2022-05-31
183,182,673,2,999,0,,1,2022-05-20
184,183,233,3,999,0,,0,2022-05-8
185,184,102,1,999,0,,0,2022-05-13
186,185,461,1,999,0,,0,2022-05-19
187,186,250,1,999,0,,0,2022-05-20
188,187,130,1,999,0,,0,2022-05-3
189,188,252,1,999,0,,0,2022-05-18
190,189,138,1,999,0,,0,2022-05-19
191,190,412,1,999,0,,0,2022-05-10
192,191,179,2,999,0,,0,2022-05-19
193,192,19,2,999,0,,0,2022-05-7
194,193,228,2,999,0,,0,2022-05-26
195,194,55,1,999,0,,0,2022-05-31
196,195,717,1,999,0,,0,2022-05-6
197,196,313,1,999,0,,0,2022-05-7
198,197,289,1,999,0,,0,2022-05-29
199,198,683,2,999,0,,0,2022-05-25
200,199,1077,1,999,0,,0,2022-05-29
201,200,146,2,999,0,,0,2022-05-9
202,201,167,1,999,0,,0,2022-05-15
203,202,356,2,999,0,,0,2022-05-20
204,203,277,1,999,0,,0,2022-05-13
205,204,172,1,999,0,,0,2022-05-9
206,205,218,1,999,0,,0,2022-05-10
207,206,217,1,999,0,,0,2022-05-4
208,207,67,1,999,0,,0,2022-05-26
209,208,291,1,999,0,,0,2022-05-8
210,209,248,1,999,0,,0,2022-05-24
211,210,256,1,999,0,,0,2022-05-19
212,211,286,1,999,0,,0,2022-05-25
213,212,477,1,999,0,,0,2022-05-31
214,213,611,2,999,0,,0,2022-05-5
215,214,471,1,999,0,,0,2022-05-14
216,215,381,2,999,0,,0,2022-05-22
217,216,251,1,999,0,,0,2022-05-2
218,217,408,1,999,0,,0,2022-05-20
219,218,287,1,999,0,,0,2022-05-29
220,219,322,3,999,0,,0,2022-05-9
221,220,216,2,999,0,,0,2022-05-20
222,221,366,2,999,0,,0,2022-05-26
223,222,210,1,999,0,,0,2022-05-26
224,223,288,1,999,0,,0,2022-05-19
225,224,168,1,999,0,,0,2022-05-15
226,225,132,1,999,0,,0,2022-05-17
227,226,64,2,999,0,,0,2022-05-26
228,227,209,2,999,0,,0,2022-05-8
229,228,410,3,999,0,,0,2022-05-9
230,229,177,1,999,0,,0,2022-05-19
231,230,580,2,999,0,,0,2022-05-6
232,231,165,1,999,0,,0,2022-05-23
233,232,127,2,999,0,,0,2022-05-27
234,233,357,1,999,0,,0,2022-05-17
235,234,175,1,999,0,,0,2022-05-10
236,235,300,1,999,0,,0,2022-05-6
237,236,136,1,999,0,,0,2022-05-19
238,237,125,2,999,0,,0,2022-05-24
239,238,189,2,999,0,,0,2022-05-4
